,count,mean,std,min,25%,50%,75%,max,methylation
"('PTEN', 'MGMT_medium_methylated')",9.0,174.0,278.0202330766594,6.0,19.0,66.0,192.0,873.0,MGMT_medium_methylated
"('TP53', 'MGMT_medium_methylated')",6.0,755.1666666666666,541.1781284075205,121.0,449.0,740.5,840.75,1703.0,MGMT_medium_methylated
"('EGFR', 'MGMT_low_methylated')",4.0,390.25,256.3297030518833,7.0,374.5,504.0,519.75,546.0,MGMT_low_methylated
"('PTEN', 'EGFR', 'MGMT_high_methylated')",4.0,651.25,355.77368742877354,291.0,431.25,599.5,819.5,1115.0,MGMT_high_methylated
"('NF1', 'MGMT_medium_methylated')",4.0,245.25,132.86427912221805,116.0,139.25,243.5,349.5,378.0,MGMT_medium_methylated
"('PTEN', 'NF1', 'MGMT_low_methylated')",3.0,328.3333333333333,191.83673614126502,127.0,238.0,349.0,429.0,509.0,MGMT_low_methylated
"('PIK3CA', 'MGMT_high_methylated')",2.0,478.5,236.88077169749343,311.0,394.75,478.5,562.25,646.0,MGMT_high_methylated
"('PTEN', 'MUC16', 'MGMT_medium_methylated')",2.0,188.0,108.89444430272832,111.0,149.5,188.0,226.5,265.0,MGMT_medium_methylated
"('PTEN', 'TP53', 'NF1', 'RB1', 'MGMT_medium_methylated')",2.0,598.0,292.74220741123065,391.0,494.5,598.0,701.5,805.0,MGMT_medium_methylated
"('TP53', 'PIK3CA', 'MGMT_medium_methylated')",2.0,385.5,290.62088706767105,180.0,282.75,385.5,488.25,591.0,MGMT_medium_methylated
